"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Oct-11-2022)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York - Rochester,EIP,2019-20,2019,40,Overall,Overall,White,0.2,0.2
New York - Rochester,EIP,2019-20,2019,40,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0,0
New York - Rochester,EIP,2019-20,2019,40,Overall,Female,Overall,0.2,0.2
New York - Rochester,EIP,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0,0
New York - Rochester,EIP,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,40,Overall,Overall,Overall,0.2,0.2
New York - Rochester,EIP,2019-20,2019,40,Overall,Male,Overall,0.2,0.2
California,EIP,2019-20,2019,40,Overall,Overall,White,0.1,0.1
California,EIP,2019-20,2019,40,Overall,Overall,Black,0,0
California,EIP,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0.1,0.1
California,EIP,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0.3,0.3
California,EIP,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,40,Overall,Male,Overall,0.1,0.1
California,EIP,2019-20,2019,40,Overall,Female,Overall,0.2,0.2
California,EIP,2019-20,2019,40,Overall,Overall,Overall,0.2,0.2
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,White,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Black,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Hispanic/Latino,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Asian/Pacific Islander,0.2,0.2
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Female,Overall,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Overall,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Male,Overall,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Female,Overall,0.3,0.1
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,White,0.1,0.1
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Black,0.3,0.3
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Hispanic/Latino,0.2,0.1
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Asian/Pacific Islander,0.3,0.1
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Overall,0.2,0.1
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Male,Overall,0.2,0.1
California,EIP,2019-20,2019,41,Overall,Overall,Overall,0.3,0.2
California,EIP,2019-20,2019,41,Overall,Male,Overall,0.2,0.1
California,EIP,2019-20,2019,41,Overall,Overall,White,0.3,0.1
California,EIP,2019-20,2019,41,Overall,Overall,Black,0.3,0.3
California,EIP,2019-20,2019,41,Overall,Overall,Hispanic/Latino,0.4,0.2
California,EIP,2019-20,2019,41,Overall,Overall,Asian/Pacific Islander,0.3,0
California,EIP,2019-20,2019,41,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,41,Overall,Female,Overall,0.4,0.2
New York - Rochester,EIP,2019-20,2019,41,Overall,Overall,Overall,0.4,0.2
New York - Rochester,EIP,2019-20,2019,41,Overall,Overall,White,0.2,0
New York - Rochester,EIP,2019-20,2019,41,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,41,Overall,Overall,Hispanic/Latino,1.2,1.2
New York - Rochester,EIP,2019-20,2019,41,Overall,Overall,Asian/Pacific Islander,3,3
New York - Rochester,EIP,2019-20,2019,41,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,41,Overall,Male,Overall,0.2,0
New York - Rochester,EIP,2019-20,2019,41,Overall,Female,Overall,0.5,0.3
New York - Rochester,EIP,2019-20,2019,42,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,42,Overall,Overall,White,0.5,0.2
California,EIP,2019-20,2019,42,Overall,Overall,White,0.5,0.2
California,EIP,2019-20,2019,42,Overall,Overall,Black,0.6,0.3
California,EIP,2019-20,2019,42,Overall,Female,Overall,0.6,0.2
New York - Rochester,EIP,2019-20,2019,42,Overall,Overall,Hispanic/Latino,1.2,0
New York - Rochester,EIP,2019-20,2019,42,Overall,Overall,Asian/Pacific Islander,3,0
New York - Rochester,EIP,2019-20,2019,42,Overall,Female,Overall,0.5,0
New York - Rochester,EIP,2019-20,2019,42,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,42,Overall,Male,Overall,0.5,0.4
New York - Rochester,EIP,2019-20,2019,42,Overall,Overall,Overall,0.5,0.2
California,EIP,2019-20,2019,42,Overall,Overall,Hispanic/Latino,0.4,0
California,EIP,2019-20,2019,42,Overall,Overall,Asian/Pacific Islander,0.4,0.1
California,EIP,2019-20,2019,42,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,42,Overall,Male,Overall,0.3,0.1
California,EIP,2019-20,2019,42,Overall,Overall,Overall,0.5,0.1
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,White,0.3,0.1
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Black,0.6,0.3
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Hispanic/Latino,0.3,0.1
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Asian/Pacific Islander,0.3,0.1
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Male,Overall,0.3,0.2
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Female,Overall,0.4,0.2
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Overall,0.4,0.2
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,White,0.4,0.1
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Black,1,0.4
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Hispanic/Latino,0.6,0.2
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Asian/Pacific Islander,0.4,0.1
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,American Indian/Alaska Native,0.5,0.5
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Female,Overall,0.6,0.2
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Overall,0.6,0.2
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Male,Overall,0.5,0.2
California,EIP,2019-20,2019,43,Overall,Overall,White,1.1,0.6
California,EIP,2019-20,2019,43,Overall,Overall,Black,1.2,0.6
California,EIP,2019-20,2019,43,Overall,Overall,Hispanic/Latino,0.6,0.2
California,EIP,2019-20,2019,43,Overall,Overall,Asian/Pacific Islander,0.4,0.1
California,EIP,2019-20,2019,43,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,43,Overall,Male,Overall,0.6,0.3
California,EIP,2019-20,2019,43,Overall,Overall,Overall,0.9,0.4
California,EIP,2019-20,2019,43,Overall,Female,Overall,1.1,0.5
New York - Rochester,EIP,2019-20,2019,43,Overall,Overall,Overall,0.6,0.1
New York - Rochester,EIP,2019-20,2019,43,Overall,Male,Overall,0.5,0
New York - Rochester,EIP,2019-20,2019,43,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,43,Overall,Overall,Hispanic/Latino,1.2,0
New York - Rochester,EIP,2019-20,2019,43,Overall,Overall,Asian/Pacific Islander,3,0
New York - Rochester,EIP,2019-20,2019,43,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,43,Overall,Female,Overall,0.7,0.2
New York - Rochester,EIP,2019-20,2019,43,Overall,Overall,White,0.6,0.1
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Asian/Pacific Islander,0.7,0.3
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,American Indian/Alaska Native,0.5,0
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Male,Overall,0.7,0.2
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Female,Overall,0.9,0.2
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Overall,0.8,0.2
New York - Rochester,EIP,2019-20,2019,44,Overall,Overall,White,0.7,0.1
New York - Rochester,EIP,2019-20,2019,44,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,44,Overall,Overall,Hispanic/Latino,1.2,0
New York - Rochester,EIP,2019-20,2019,44,Overall,Overall,Asian/Pacific Islander,3,0
New York - Rochester,EIP,2019-20,2019,44,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,44,Overall,Male,Overall,0.5,0
New York - Rochester,EIP,2019-20,2019,44,Overall,Female,Overall,0.9,0.2
New York - Rochester,EIP,2019-20,2019,44,Overall,Overall,Overall,0.7,0.1
California,EIP,2019-20,2019,44,Overall,Overall,Overall,1.5,0.7
California,EIP,2019-20,2019,44,Overall,Overall,White,1.6,0.5
California,EIP,2019-20,2019,44,Overall,Overall,Black,2.3,1.2
California,EIP,2019-20,2019,44,Overall,Overall,Hispanic/Latino,1.5,0.9
California,EIP,2019-20,2019,44,Overall,Overall,Asian/Pacific Islander,0.9,0.4
California,EIP,2019-20,2019,44,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,44,Overall,Male,Overall,1.3,0.7
California,EIP,2019-20,2019,44,Overall,Female,Overall,1.8,0.6
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,White,0.6,0.2
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Black,1.3,0.3
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Hispanic/Latino,0.8,0.3
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Male,Overall,1.1,0.3
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,American Indian/Alaska Native,1,0.5
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Overall,1.1,0.3
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Asian/Pacific Islander,1.1,0.4
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Hispanic/Latino,1.1,0.3
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Black,1.8,0.5
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,White,0.8,0.2
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Female,Overall,1.2,0.3
California,EIP,2019-20,2019,45,Overall,Overall,Overall,2.4,0.9
California,EIP,2019-20,2019,45,Overall,Female,Overall,2.5,0.7
California,EIP,2019-20,2019,45,Overall,Male,Overall,2.3,1
New York - Rochester,EIP,2019-20,2019,45,Overall,Overall,Overall,0.7,0
California,EIP,2019-20,2019,45,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,45,Overall,Overall,Asian/Pacific Islander,1.4,0.5
California,EIP,2019-20,2019,45,Overall,Overall,Hispanic/Latino,2.2,0.7
California,EIP,2019-20,2019,45,Overall,Overall,Black,5.2,2.9
California,EIP,2019-20,2019,45,Overall,Overall,White,2.2,0.6
New York - Rochester,EIP,2019-20,2019,45,Overall,Overall,White,0.7,0
New York - Rochester,EIP,2019-20,2019,45,Overall,Overall,Hispanic/Latino,1.2,0
New York - Rochester,EIP,2019-20,2019,45,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,45,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,45,Overall,Overall,Asian/Pacific Islander,3,0
New York - Rochester,EIP,2019-20,2019,45,Overall,Female,Overall,0.9,0
New York - Rochester,EIP,2019-20,2019,45,Overall,Male,Overall,0.5,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Overall,White,0.7,0
California,EIP,2019-20,2019,46,Overall,Overall,Black,7.8,2.6
California,EIP,2019-20,2019,46,Overall,Overall,White,2.7,0.5
California,EIP,2019-20,2019,46,Overall,Female,Overall,3.6,1.1
New York - Rochester,EIP,2019-20,2019,46,Overall,Overall,Overall,0.7,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Male,Overall,0.5,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Female,Overall,0.9,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Overall,Asian/Pacific Islander,3,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Overall,Hispanic/Latino,1.2,0
New York - Rochester,EIP,2019-20,2019,46,Overall,Overall,Black,0,0
California,EIP,2019-20,2019,46,Overall,Male,Overall,3.3,1
California,EIP,2019-20,2019,46,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2019-20,2019,46,Overall,Overall,Asian/Pacific Islander,1.8,0.4
California,EIP,2019-20,2019,46,Overall,Overall,Hispanic/Latino,4,1.7
California,EIP,2019-20,2019,46,Overall,Overall,Overall,3.4,1
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Black,2.6,0.8
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,White,1.1,0.2
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Overall,1.5,0.4
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Female,Overall,1.6,0.4
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Male,Overall,1.5,0.4
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,American Indian/Alaska Native,1,0
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Asian/Pacific Islander,1.3,0.3
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Hispanic/Latino,1.8,0.7
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,White,1.5,0.4
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Black,3.7,1.1
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Hispanic/Latino,2.5,0.7
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Asian/Pacific Islander,1.8,0.5
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Female,Overall,2.3,0.7
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Overall,2.2,0.6
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,American Indian/Alaska Native,2,1
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Male,Overall,2.1,0.6
California,EIP,2019-20,2019,47,Overall,Overall,White,3.5,0.8
California,EIP,2019-20,2019,47,Overall,Overall,Black,9,1.2
California,EIP,2019-20,2019,47,Overall,Overall,Hispanic/Latino,4.8,0.9
California,EIP,2019-20,2019,47,Overall,Overall,Asian/Pacific Islander,2.4,0.6
California,EIP,2019-20,2019,47,Overall,Overall,American Indian/Alaska Native,8.2,8.2
California,EIP,2019-20,2019,47,Overall,Female,Overall,4.5,1
California,EIP,2019-20,2019,47,Overall,Male,Overall,4,0.8
California,EIP,2019-20,2019,47,Overall,Overall,Overall,4.3,0.9
New York - Rochester,EIP,2019-20,2019,47,Overall,Overall,White,1,0.3
New York - Rochester,EIP,2019-20,2019,47,Overall,Overall,Black,0,0
New York - Rochester,EIP,2019-20,2019,47,Overall,Overall,Hispanic/Latino,2.4,1.2
New York - Rochester,EIP,2019-20,2019,47,Overall,Overall,Asian/Pacific Islander,3,0
New York - Rochester,EIP,2019-20,2019,47,Overall,Overall,American Indian/Alaska Native,0,0
