state,tot_cases,new_case,tot_death,new_death
OR,0,0,0,0
MD,"516,784","1,525","10,282",11
VT,"33,388",112,333,4
DC,"37,008",136,916,3
NC,"1,586,243","3,410","19,480",19
MI,"2,786,213",0,"38,121",0
CT,"777,064","1,963","10,883",0
SC,"1,661,218","2,106","18,249",1
CA,"912,904","4,191","17,502",73
ID,"445,350",0,"4,918",0
DC,"36,872",210,913,4
IL,"1,130,917","2,304","21,336",63
WY,"111,089",265,"1,428",81
WI,"25,480",185,700,2
NH,"2,518",89,86,2
FSM,0,0,0,0
CA,"4,826,113","6,093","70,884",143
SC,"169,098","1,184","3,759",50
NV,"320,719",180,"5,530",0
VT,"128,796",70,666,0
MD,"365,529",976,"7,894",45
CT,"887,501","1,153","11,330",1
MO,"585,673",848,"8,959",6
MI,0,0,0,0
WI,"1,826,082",0,"15,042",0
CT,"36,085",621,"3,285",66
WI,"98,440","1,502","1,237",8
CA,"139,281","3,090","4,769",106
AZ,1,0,0,0
MI,0,0,0,0
RI,"13,583",7,634,12
FSM,14,0,0,0
DC,"166,893",0,"1,382",0
MD,"998,136","1,089","14,011",8
LA,"428,592",0,"9,587",0
VT,"3,426",88,63,1
VA,"674,843",404,"11,156",4
MO,"823,346","1,724","11,522",7
DC,"168,141",0,"1,383",0
IL,"3,584,009","5,018","38,923",34
ID,"263,294","1,835","2,993",11
MO,"1,484,783",0,"20,647",0
DC,"128,739",189,"1,278",3
FSM,"7,856",0,27,0
MN,"698,109",927,"8,176",7
OR,"8,341",247,202,0
KY,0,0,0,0
MO,"592,049",619,"8,991",3
LA,"1,245,088",0,"17,431",0
WI,"1,572,682",685,"13,351",54
MD,"1,147,362","1,918","14,838",3
DC,"59,563",238,"1,170",3
NV,"6,921",49,379,14
WI,"141,655","1,727","1,392",4
FSM,3,0,0,0
ID,"27,942",282,273,4
SC,"1,643,911","2,434","18,228",1
KY,"1,499,918","2,111","16,819",7
CA,"732,144","4,905","13,592",123
LA,"1,156,065","1,617","16,353",49
NJ,"2,527,086","4,437","34,126",14
MO,"631,603","1,639","9,387",4
ID,"34,950",333,412,5
CA,"4,653,610",0,"68,087",0
SC,"915,901",432,"14,185",6
AZ,"1,150,432",450,"20,963",102
NV,"722,619",486,"10,788",1
DC,0,0,0,0
CA,"1,087,714","15,442","18,681",88
WI,"751,195","2,095","8,589",32
NE,"24,123",372,313,0
