submission_date,new_case,new_death,Admin_Dose_1_Daily,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Pop_Pct,Booster_Daily,Additional_Doses_Vax_Pct,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips >=500
2020-01-22,0,0,,,,,,,1853446.0,8634638.0,39155121.0,16466.0
2020-01-23,0,0,,,,,,,1894941.0,8593143.0,38740334.0,18670.0
2020-01-24,0,0,,,,,,,1864086.0,8623998.0,39691859.0,19378.0
2020-01-25,0,0,,,,,,,2049145.0,8438939.0,38065676.0,17478.0
2020-01-26,0,0,,,,,,,2175018.0,8313066.0,33393079.0,19183.0
2020-01-27,0,0,,,,,,,1898103.0,8589981.0,37227665.0,18608.0
2020-01-28,0,0,,,,,,,1864260.0,8623824.0,38354291.0,16749.0
2020-01-29,0,0,,,,,,,1893777.0,8594307.0,38512637.0,18214.0
2020-01-30,0,0,,,,,,,1863487.0,8624597.0,37922866.0,30800.0
2020-01-31,0,0,,,,,,,1815486.0,8672598.0,37881588.0,37167.0
2020-02-01,0,0,,,,,,,2000599.0,8487485.0,37107983.0,34522.0
2020-02-02,0,0,,,,,,,2165409.0,8322675.0,33591561.0,35017.0
2020-02-03,0,0,,,,,,,1832185.0,8655899.0,38512871.0,36739.0
2020-02-04,0,0,,,,,,,1800697.0,8687387.0,38575899.0,35548.0
2020-02-05,0,0,,,,,,,1821059.0,8667025.0,38212799.0,37075.0
2020-02-06,0,0,,,,,,,1853175.0,8634909.0,34870201.0,35832.0
2020-02-07,0,0,,,,,,,1736657.0,8751427.0,39463427.0,34430.0
2020-02-08,0,0,,,,,,,2043577.0,8444507.0,36113471.0,35169.0
2020-02-09,0,0,,,,,,,2340222.0,8147862.0,29339544.0,45500.0
2020-02-10,0,0,,,,,,,1805535.0,8682549.0,35543114.0,51020.0
2020-02-11,0,0,,,,,,,1697968.0,8790116.0,35675352.0,49800.0
2020-02-12,0,0,,,,,,,1669671.0,8818413.0,37100927.0,54988.0
2020-02-13,0,0,,,,,,,1618088.0,8869996.0,35858307.0,57488.0
2020-02-14,0,0,,,,,,,1577730.0,8910354.0,39330167.0,61106.0
2020-02-15,0,0,,,,,,,1859413.0,8628671.0,35634542.0,56344.0
2020-02-16,0,0,,,,,,,2159811.0,8328273.0,30409228.0,56174.0
2020-02-17,0,0,,,,,,,2221416.0,8266668.0,29813009.0,48517.0
2020-02-18,0,0,,,,,,,1735795.0,8752289.0,34475691.0,54387.0
2020-02-19,0,0,,,,,,,1724859.0,8763225.0,35312778.0,49864.0
2020-02-20,0,0,,,,,,,1998660.0,8489424.0,33265536.0,40575.0
2020-02-21,0,0,,,,,,,1935447.0,8552637.0,33995850.0,47330.0
2020-02-22,0,0,,,,,,,1939746.0,8548338.0,35586745.0,46579.0
2020-02-23,0,0,,,,,,,2128189.0,8359895.0,31040561.0,29669.0
2020-02-24,0,0,,,,,,,1732121.0,8755963.0,34417198.0,39502.0
2020-02-25,0,0,,,,,,,1602881.0,8885203.0,36939772.0,41129.0
2020-02-26,0,0,,,,,,,1888873.0,8599211.0,40002779.0,28575.0
2020-02-27,0,0,,,,,,,1586973.0,8901111.0,36595038.0,29991.0
2020-02-28,0,0,,,,,,,1556563.0,8931521.0,38463179.0,31782.0
2020-02-29,0,0,,,,,,,1737648.0,8750436.0,36688427.0,29875.0
2020-03-01,0,0,,,,,,,2096736.0,8391348.0,34342367.0,37856.0
2020-03-02,0,0,,,,,,,1800166.0,8687918.0,40116600.0,40689.0
2020-03-03,1,0,,,,,,,1686524.0,8801560.0,41817081.0,24011.0
2020-03-04,0,0,,,,,,,1731128.0,8756956.0,42304575.0,24501.0
2020-03-05,0,0,,,,,,,1604870.0,8883214.0,41124090.0,25521.0
2020-03-06,0,0,,,,,,,1689886.0,8798198.0,42931550.0,24887.0
2020-03-07,1,0,,,,,,,1856951.0,8631133.0,41118621.0,29765.0
2020-03-08,0,0,,,,,,,2094778.0,8393306.0,35695034.0,29509.0
2020-03-09,0,0,,,,,,,1868635.0,8619449.0,40638396.0,24980.0
2020-03-10,5,0,,,,,,,1837979.0,8650105.0,40378505.0,24149.0
2020-03-11,0,0,,,,,,,1778122.0,8709962.0,42095053.0,53972.0
2020-03-12,2,0,,,,,,,1851721.0,8636363.0,42361912.0,51174.0
