case_month,PA,MI,NJ,MO,FL,LA,MA,MD,CO,TX,IA,IL,WA,OH,WI,MN,CT,SC,NY,VA,AL,NC,NM,NV,CA,OK,AZ,NH,OR,TN,AR,KY,IN,GA,ID,KS,UT,ND,MT,WY,ME,DC,VT,AK,NE,HI
2020-03-01,117.0,51.0,212.0,12.0,20.0,337.0,14.0,10.0,14.0,42.0,56.0,18.0,38.0,12.0,16.0,11.0,22.0,19.0,5,,,,,,,,,,,,,,,22,,,,,,,,,,,,
2020-04-01,265.0,,464.0,,,147.0,68.0,,22.0,,,107.0,12.0,,68.0,35.0,,,287,101.0,66.0,14.0,64.0,17.0,21.0,29.0,11.0,34.0,,,,,,45,,,,,,,,,,,18.0,
2020-05-01,161.0,41.0,63.0,,26.0,14.0,34.0,113.0,,46.0,111.0,,33.0,38.0,,,,27.0,276,14.0,,46.0,374.0,,,,55.0,18.0,34.0,12.0,106.0,39.0,22.0,76,,,,,,,,,,,,
2020-06-01,76.0,45.0,147.0,36.0,224.0,331.0,,17.0,,991.0,,,78.0,192.0,12.0,55.0,54.0,165.0,224,37.0,24.0,202.0,182.0,,244.0,17.0,214.0,,24.0,14.0,173.0,,41.0,519,162.0,15.0,21.0,32.0,,,,,,,,
2020-07-01,,158.0,23.0,62.0,613.0,540.0,118.0,392.0,,521.0,,,98.0,285.0,109.0,187.0,,394.0,245,102.0,269.0,446.0,89.0,26.0,167.0,64.0,27.0,,95.0,188.0,,,175.0,618,230.0,77.0,,,14.0,,,,,,,
2020-08-01,46.0,56.0,33.0,172.0,689.0,80.0,49.0,,50.0,370.0,,679.0,31.0,165.0,132.0,157.0,,97.0,12,88.0,355.0,403.0,138.0,270.0,341.0,368.0,143.0,,,87.0,,137.0,90.0,297,27.0,215.0,109.0,,41.0,,,,,,12.0,
2020-09-01,98.0,94.0,62.0,93.0,341.0,32.0,33.0,27.0,60.0,127.0,11.0,158.0,31.0,125.0,124.0,86.0,75.0,88.0,25,19.0,84.0,284.0,,82.0,144.0,152.0,530.0,24.0,39.0,,38.0,56.0,180.0,198,15.0,78.0,,,,,,,,12.0,,48.0
2020-10-01,283.0,349.0,157.0,100.0,182.0,46.0,,148.0,77.0,342.0,11.0,1019.0,105.0,196.0,790.0,107.0,49.0,223.0,157,124.0,75.0,206.0,179.0,133.0,164.0,76.0,127.0,,12.0,34.0,21.0,103.0,465.0,9,359.0,82.0,150.0,19.0,401.0,80.0,17.0,,,15.0,24.0,
2020-11-01,1411.0,726.0,547.0,521.0,253.0,579.0,915.0,670.0,572.0,1307.0,504.0,969.0,519.0,1137.0,469.0,768.0,473.0,68.0,1095,94.0,216.0,566.0,386.0,19.0,484.0,320.0,82.0,,504.0,63.0,376.0,190.0,2133.0,624,60.0,97.0,894.0,,669.0,,157.0,12.0,,176.0,180.0,
2020-12-01,2004.0,314.0,1568.0,445.0,163.0,1172.0,582.0,502.0,184.0,659.0,,344.0,191.0,1845.0,1004.0,378.0,617.0,900.0,564,489.0,1359.0,1512.0,702.0,57.0,2532.0,343.0,1014.0,236.0,,2252.0,77.0,126.0,1269.0,1154,689.0,180.0,581.0,237.0,286.0,,254.0,14.0,36.0,79.0,,
